Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Joe Veleno,DET,C,81,9,11,20,-12,30,85,1,1,3,0,0,152,44
Philipp Kurashev,CHI,LW,70,9,16,25,-32,14,116,2,0,4,0,0,38,34
Peyton Krebs,BUF,C,74,9,17,26,-8,50,78,0,1,2,1,0,93,20
Max Comtois,ANH,LW,64,9,10,19,-20,76,89,0,0,2,0,0,81,27
Morgan Geekie,SEA,C,69,9,19,28,14,24,81,3,1,0,0,0,53,33
Ty Dellandrea,DAL,C,82,9,19,28,9,54,92,2,0,0,0,3,125,39
Jakob Chychrun,OTT,D,48,9,24,33,7,30,144,0,4,4,0,0,55,83
Max Jones,ANH,LW,69,9,10,19,-21,77,107,2,0,0,0,0,110,18
Julien Gauthier,OTT,RW,57,9,5,14,-6,6,53,0,0,0,0,0,105,13
Wade Allison,PHI,RW,60,9,6,15,-3,36,89,2,0,0,0,0,190,62
Filip Hronek,VAN,D,64,9,30,39,7,34,124,1,4,12,0,0,102,58
Brandon Duhaime,MIN,LW,51,9,1,10,6,42,80,3,0,0,1,0,146,18
Matt Roy,LA,D,82,9,17,26,8,22,135,2,0,0,1,1,119,153
Jake Walman,DET,D,63,9,9,18,10,45,140,2,0,2,0,0,47,121
Sammy Blais,STL,LW,71,9,16,25,4,30,70,1,0,1,0,0,238,35
Jason Dickinson,CHI,C,78,9,21,30,-29,28,114,1,1,0,0,4,112,80
Andrew Copp,DET,C,82,9,33,42,2,25,120,2,1,4,1,0,32,45
Austin Watson,OTT,LW,75,9,2,11,-7,123,79,2,0,0,3,0,165,61
Drew Doughty,LA,D,81,9,43,52,12,34,145,2,4,23,0,0,115,104
John Carlson,WAS,D,40,9,20,29,-7,12,124,0,3,9,1,0,42,87
Victor Hedman,TB,D,76,9,40,49,10,42,185,1,1,13,1,2,95,136
Paul Stastny,CAR,C,73,9,13,22,4,16,80,3,2,2,0,0,21,18
Trevor Lewis,CGY,C,82,9,11,20,-7,18,144,1,1,0,1,0,158,33
Mattias Ekholm,EDM,D,78,9,23,32,28,28,135,0,0,4,0,1,91,104
Jamie Oleksiak,SEA,D,75,9,16,25,13,62,76,2,0,0,0,0,126,115
Nick Cousins,FLA,C,79,9,18,27,-1,38,102,2,0,0,0,0,87,36
Craig Smith,WAS,RW,64,9,7,16,5,18,104,2,0,1,0,0,48,21
Vladislav Namestnikov,WPG,C,77,8,17,25,5,35,108,0,1,2,0,0,108,39
Brett Ritchie,ARI,RW,50,8,5,13,0,25,68,0,0,1,0,0,77,9
Ondrej Palat,NJ,LW,49,8,15,23,5,6,79,1,1,2,0,0,70,44
Adam Larsson,SEA,D,82,8,25,33,27,47,143,2,0,0,1,0,222,173
Brendan Gallagher,MON,RW,37,8,6,14,-5,45,93,2,0,2,0,0,18,13
Jacob Trouba,NYR,D,82,8,22,30,7,63,199,2,2,3,1,1,218,196
Mike Matheson,MON,D,48,8,26,34,7,33,126,2,0,9,0,2,53,80
